mes_aplicacion,semilla_undersampling,semilla_public,ganancia_public_inalcanzable,probabilidad_corte,ganancia_public,ganancia_private,ganancia_completa
201912,102191,624203,15052500,0.44,14902500,15666562,15513750
201912,102191,656273,15153750,0.46,15097500,15593438,15494250
201911,102191,904147,13121250,0.47,13121250,12367500,12518250
201911,102191,976091,13833750,0.31,13781250,12299062,12595500
201911,102191,910661,13983750,0.38,13980000,12409688,12723750
201911,102191,242197,13743750,0.34,13575000,12440625,12667500
201911,102191,847519,13110000,0.52,12956250,12487500,12581250
201911,102191,226099,12135000,0.49,11928750,12707812,12552000
201911,102191,699493,13773750,0.39,13428750,12533438,12712500
201911,102191,275339,11265000,0.52,10908750,12999375,12581250
201911,102191,751423,13252500,0.35,13252500,12570938,12707250
201911,102191,844523,13046250,0.36,13046250,12742500,12803250
201911,102191,577531,12986250,0.43,12986250,12483750,12584250
201911,102191,955139,12705000,0.39,12690000,12718125,12712500
201911,102191,929311,14141250,0.27,14141250,12165000,12560250
201911,102191,923441,12262500,0.34,12232500,12776250,12667500
201911,102191,372847,13312500,0.25,13312500,12122812,12360750
201911,102191,778187,13927500,0.43,13860000,12265312,12584250
201911,102191,102913,12708750,0.36,12708750,12826875,12803250
201911,102191,923179,12461250,0.42,12435000,12569062,12542250
201911,102191,356929,11790000,0.52,11790000,12779062,12581250
201911,102191,488617,11546250,0.44,11531250,12789375,12537750
201911,102191,579869,12971250,0.57,12971250,11493750,11789250
201911,102191,869299,14051250,0.41,13860000,12335625,12640500
201911,102191,702469,13890000,0.36,13890000,12531562,12803250
201911,102191,877367,13710000,0.25,13485000,12079688,12360750
201911,102191,737281,12318750,0.38,12213750,12851250,12723750
201911,102191,659473,12697500,0.24,12311250,12359062,12349500
201911,102191,370399,13770000,0.29,13770000,12178125,12496500
201911,102191,561529,12086250,0.28,12086250,12525000,12437250
201911,102191,813199,12217500,0.41,12217500,12746250,12640500
201911,102191,128969,12761250,0.23,12547500,12184688,12257250
201911,102191,242377,12300000,0.39,12300000,12815625,12712500
201911,102191,906823,13582500,0.44,13582500,12276562,12537750
201911,102191,461603,12660000,0.36,12660000,12839062,12803250
201911,102191,590963,13657500,0.46,13560000,12311250,12561000
201911,102191,366217,13016250,0.36,12911250,12776250,12803250
201911,102191,780631,12798750,0.38,12693750,12731250,12723750
201911,102191,902179,15041250,0.36,15041250,12243750,12803250
201911,102191,651029,15015000,0.49,14658750,12025312,12552000
201911,102191,511691,12630000,0.49,12480000,12570000,12552000
201911,102191,259387,13241250,0.41,13241250,12490312,12640500
201911,102191,221071,12765000,0.29,12615000,12466875,12496500
201911,102191,538301,12333750,0.36,12333750,12920625,12803250
201911,102191,706913,12176250,0.51,12086250,12578438,12480000
201911,102191,212999,13395000,0.31,13350000,12406875,12595500
201911,102191,647321,13593750,0.52,13593750,12328125,12581250
201911,102191,167623,12892500,0.33,12570000,12508125,12520500
201911,102191,222163,12862500,0.39,12480000,12770625,12712500
201911,102191,920687,14133750,0.48,14133750,12128438,12529500
201911,102191,167213,13713750,0.31,13398750,12394688,12595500
201911,102191,325673,14130000,0.38,13953750,12416250,12723750
201911,102191,132233,13387500,0.37,13383750,12576562,12738000
201911,102191,284227,13413750,0.52,13413750,12373125,12581250
201911,102191,876181,12543750,0.39,12397500,12791250,12712500
201911,102191,978233,12247500,0.49,12247500,12628125,12552000
201911,102191,355457,13653750,0.35,13511250,12506250,12707250
201911,102191,641513,12723750,0.33,12667500,12483750,12520500
201911,102191,737969,12273750,0.54,12202500,12322500,12298500
201911,102191,838139,12671250,0.29,12611250,12467812,12496500
201911,102191,544759,12825000,0.46,12825000,12495000,12561000
201911,102191,617791,11565000,0.35,11310000,13056562,12707250
201911,102191,577169,13916250,0.26,13916250,12075000,12443250
201911,102191,414241,13522500,0.38,13507500,12527812,12723750
201911,102191,415823,13702500,0.36,13702500,12578438,12803250
201911,102191,992917,12570000,0.52,11898750,12751875,12581250
201911,102191,433861,12341250,0.52,11985000,12730312,12581250
201911,102191,730421,13140000,0.26,13012500,12300938,12443250
