mes_aplicacion	semilla_undersampling	semilla_public	ganancia_public_inalcanzable	probabilidad_corte	ganancia_public	ganancia_private	ganancia_completa	
202001	102191	148817	12281250	0.52	12281250	11842500	11930250	
201912	102191	593297	15521250	0.31	15521250	15577500	15566250	
201912	102191	841741	15116250	0.42	14928750	15409688	15313500	
201912	102191	791851	14077500	0.37	14070000	15778125	15436500	
201912	102191	109841	14756250	0.34	14673750	15843750	15609750	
201912	102191	388237	16177500	0.41	16143750	15041250	15261750	
201912	102191	858103	13698750	0.29	13541250	15816562	15361500	
201912	102191	389761	15221250	0.32	15221250	15734062	15631500	
201912	102191	572933	16575000	0.48	16477500	14905312	15219750	
201912	102191	393079	15795000	0.34	15795000	15563438	15609750	
201912	102191	890969	16488750	0.35	16368750	15330938	15538500	
201912	102191	503131	15866250	0.48	15813750	15071250	15219750	
201912	102191	575753	16661250	0.37	16638750	15135938	15436500	
201912	102191	993793	13908750	0.32	13807500	16087500	15631500	
201912	102191	167033	14760000	0.27	14760000	15198750	15111000	
201912	102191	999563	15903750	0.45	15903750	15230625	15365250	
201912	102191	234239	13747500	0.34	13706250	16085625	15609750	
201912	102191	292667	15213750	0.29	15041250	15441562	15361500	
201912	102191	943289	13537500	0.38	13353750	15975938	15451500	
201912	102191	501637	16233750	0.48	16233750	14966250	15219750	
201912	102191	151573	15641250	0.34	15641250	15601875	15609750	
201912	102191	726287	14970000	0.38	14876250	15595312	15451500	
201912	102191	550309	16777500	0.31	16706250	15281250	15566250	
201912	102191	169177	16065000	0.48	16065000	15008438	15219750	
201912	102191	851413	15716250	0.42	15716250	15212812	15313500	
201912	102191	449287	16035000	0.47	16005000	14961562	15170250	
201912	102191	409891	15960000	0.29	15960000	15211875	15361500	
201912	102191	771427	16781250	0.37	16721250	15115312	15436500	
201912	102191	566011	16706250	0.33	16706250	15352500	15623250	
201912	102191	733879	16586250	0.31	16526250	15326250	15566250	
201912	102191	742151	16372500	0.31	16327500	15375938	15566250	
201912	102191	410833	15506250	0.29	15506250	15325312	15361500	
201912	102191	235177	16968750	0.32	16968750	15297188	15631500	
201912	102191	141311	15971250	0.29	15971250	15209062	15361500	
201912	102191	276467	16376250	0.31	16342500	15372188	15566250	
201912	102191	230807	16125000	0.35	15967500	15431250	15538500	
201912	102191	525727	16563750	0.38	16548750	15177188	15451500	
201912	102191	705409	14771250	0.34	14771250	15819375	15609750	
201912	102191	259277	14520000	0.42	14520000	15511875	15313500	
201912	102191	230369	16196250	0.34	16196250	15463125	15609750	
201912	102191	296251	15300000	0.33	15232500	15720938	15623250	
201912	102191	116099	16916250	0.32	16916250	15310312	15631500	
201912	102191	428227	16275000	0.38	15480000	15444375	15451500	
201912	102191	586567	15922500	0.39	15922500	15295312	15420750	
201912	102191	157327	1.5e+07	0.32	1.5e+07	15789375	15631500	
201912	102191	556181	15547500	0.35	15547500	15536250	15538500	
201912	102191	462899	16368750	0.37	15937500	15311250	15436500	
201912	102191	862633	17647500	0.39	17647500	14864062	15420750	
201912	102191	376837	16091250	0.45	16087500	15184688	15365250	
201912	102191	624479	15810000	0.39	15810000	15323438	15420750	
201912	102191	618997	15701250	0.32	15502500	15663750	15631500	
201912	102191	501623	15975000	0.3	15877500	15279375	15399000	
201912	102191	553309	16331250	0.4	16331250	15181875	15411750	
201912	102191	983429	16462500	0.4	16447500	15152812	15411750	
201912	102191	999331	15318750	0.45	15296250	15382500	15365250	
201912	102191	517393	16121250	0.37	16121250	15265312	15436500	
201912	102191	693743	15986250	0.33	15986250	15532500	15623250	
201912	102191	198851	14895000	0.33	14778750	15834375	15623250	
201912	102191	516223	15930000	0.31	15697500	15533438	15566250	
201912	102191	507607	15105000	0.49	15007500	15102188	15083250	
201912	102191	123817	15307500	0.32	15243750	15728438	15631500	
201912	102191	433337	16500000	0.34	16500000	15387188	15609750	
201912	102191	537157	17557500	0.36	17471250	14895938	15411000	
201912	102191	684379	15258750	0.43	15090000	15320625	15274500	
201912	102191	840727	16747500	0.33	16747500	15342188	15623250	
201912	102191	833857	15600000	0.4	15510000	15387188	15411750	
201912	102191	938023	16308750	0.47	16211250	14910000	15170250	
201912	102191	380059	15851250	0.38	15851250	15351562	15451500	
201912	102191	333337	13736250	0.33	13736250	16095000	15623250	
201912	102191	318137	15847500	0.33	15847500	15567188	15623250	
201912	102191	369191	15067500	0.32	15067500	15772500	15631500	
201912	102191	235289	16357500	0.35	16207500	15371250	15538500	
201912	102191	500111	16582500	0.32	16548750	15402188	15631500	
201912	102191	513017	16597500	0.33	16496250	15405000	15623250	
201912	102191	210193	16372500	0.32	16372500	15446250	15631500	
201912	102191	924841	16035000	0.4	15033750	15506250	15411750	
201912	102191	520837	16807500	0.33	16807500	15327188	15623250	
201912	102191	390281	16346250	0.31	16267500	15390938	15566250	
201912	102191	404461	15180000	0.34	15180000	15717188	15609750	
201912	102191	384173	15660000	0.39	15532500	15392812	15420750	
201912	102191	348989	15217500	0.48	15217500	15220312	15219750	
201912	102191	793627	16173750	0.31	16173750	15414375	15566250	
201912	102191	440723	15836250	0.34	15836250	15553125	15609750	
201912	102191	210467	15146250	0.46	15146250	15316875	15282750	
